Shipping Code,Category 1,Category 2,City,Library ID,Zip Code,Territory,Shipping Date,State,Shipping Rating,CO2 Emissions,Energy Usage,Damaged Items,Container Volume,Shipping Cost,Units
1,Shelves and Couches,Book Shelf,Henderson,LL_152156,42420,South,11/11/2021,Kentucky,Low,9,998,0,69,0,32
2,Shelves and Couches,Desk Chairs,Henderson,LL_152156,42420,South,11/11/2021,Kentucky,Low,1,499,0,46,0,14
3,Stationary,Barcode Labels,Los Angeles,LL_138688,90036,West,16/06/2021,California,Low,1,983,0,55,1,7
4,Shelves and Couches,Counters,Fort Lauderdale,LL_108966,33311,South,18/10/2020,Florida,Friendly,1,836,0,51,7,2
5,Stationary,Containers,Fort Lauderdale,LL_108966,33311,South,18/10/2020,Florida,Low,1,5,0,51,0,12
6,Shelves and Couches,Desks and Tables,Los Angeles,LL_115812,90032,West,14/06/2019,California,Low,1,5,0,48,0,7
7,Stationary,Paper,Los Angeles,LL_115812,90032,West,14/06/2019,California,Low,1,310,0,52,1,16
8,Computers and Scanners,Telephones and Intercomms,Los Angeles,LL_115812,90032,West,14/06/2019,California,Low,1,5,0,44,0,4
9,Stationary,Folders,Los Angeles,LL_115812,90032,West,14/06/2019,California,Low,1,5,0,47,0,8
10,Stationary,Pens,Los Angeles,LL_115812,90032,West,14/06/2019,California,Low,1,5,0,58,0,5
11,Shelves and Couches,Counters,Los Angeles,LL_115812,90032,West,14/06/2019,California,Low,1,679,0,47,0,47
12,Computers and Scanners,Telephones and Intercomms,Los Angeles,LL_115812,90032,West,14/06/2019,California,Low,1,814,0,52,1,3
13,Stationary,Paper,Concord,LL_114412,28027,South,20/04/2022,North Carolina,Low,1,734,0,47,2,16
14,Stationary,Folders,Seattle,LL_161389,98103,West,10/12/2021,Washington,Low,1,5,0,57,0,5
15,Stationary,Pens,Fort Worth,LL_118983,76106,Central,26/11/2020,Texas,Moderate,14,658,0,69,1,66
16,Stationary,Folders,Fort Worth,LL_118983,76106,Central,26/11/2020,Texas,Low,1,5,0,48,1,5
17,Stationary,Containers,Madison,LL_105893,53711,Central,18/11/2019,Wisconsin,Low,1,708,0,56,0,4
18,Stationary,Containers,West Jordan,LL_167164,84084,West,15/05/2019,Utah,Moderate,1,242,0,52,0,66
19,Stationary,Paper,San Francisco,LL_143336,94109,West,1/09/2019,California,Low,1,463,0,60,5,5
20,Computers and Scanners,Telephones and Intercomms,San Francisco,LL_143336,94109,West,1/09/2019,California,Low,1,5,0,55,1,5
21,Stationary,Folders,San Francisco,LL_143336,94109,West,1/09/2019,California,Friendly,1,736,0,57,1,19
22,Stationary,Paper,Fremont,LL_137330,68025,Central,13/12/2021,Nebraska,Low,1,5,0,51,1,9
23,Stationary,Pens,Fremont,LL_137330,68025,Central,13/12/2021,Nebraska,Low,1,5,0,52,0,5
24,Shelves and Couches,Desk Chairs,Philadelphia,LL_156909,19140,East,18/07/2022,Pennsylvania,Moderate,1,55,0,53,0,31
25,Shelves and Couches,Counters,Orem,LL_106320,84057,West,30/09/2020,Utah,Moderate,1,5,0,48,1,2
26,Stationary,Folders,Los Angeles,LL_121755,90049,West,20/01/2021,California,Low,1,5,0,53,0,3
27,Computers and Scanners,Scanners,Los Angeles,LL_121755,90049,West,20/01/2021,California,Low,5,901,0,72,1,5
28,Shelves and Couches,Book Shelf,Philadelphia,LL_150630,19140,East,21/09/2020,Pennsylvania,Moderate,1,5,0,59,0,16
29,Stationary,Folders,Philadelphia,LL_150630,19140,East,21/09/2020,Pennsylvania,Low,1,5,0,46,0,11
30,Shelves and Couches,Desks and Tables,Philadelphia,LL_150630,19140,East,21/09/2020,Pennsylvania,Low,1,5,0,49,0,10
31,Stationary,Envelopes,Philadelphia,LL_150630,19140,East,21/09/2020,Pennsylvania,Low,1,5,0,60,1,3
32,Stationary,Paper,Philadelphia,LL_150630,19140,East,21/09/2020,Pennsylvania,Very Friendly,1,5,0,72,8,5
33,Stationary,Folders,Philadelphia,LL_150630,19140,East,21/09/2020,Pennsylvania,Friendly,3,238,0,69,4,29
34,Stationary,Paper,Philadelphia,LL_150630,19140,East,21/09/2020,Pennsylvania,Moderate,1,173,0,48,0,18
35,Stationary,Paper,Houston,LL_107727,77095,Central,23/10/2022,Texas,Friendly,1,978,0,55,2,2
36,Computers and Scanners,Telephones and Intercomms,Richardson,LL_117590,75080,Central,10/12/2021,Texas,Low,1,5,0,51,0,11
37,Shelves and Couches,Desks and Tables,Richardson,LL_117590,75080,Central,10/12/2021,Texas,Moderate,8,596,0,47,0,123
